basin_id; basin_name; lat; lon; area_km2; elevation_m; slope_deg; forest_frac
01608500; SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV; 38.84888301; -79.21411184; 3782.35514100; 661.37369440; 11.02152571; 0.08077890 
01643000; MONOCACY RIVER AT JUG BRIDGE NEAR FREDERICK, MD; 39.63482804; -77.25715588; 2115.11577700; 194.63391400; 3.09352526; 0.00713578 
01668000; RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA; 38.50062696; -78.04486904; 4129.26519500; 207.27816700; 4.19280089; 0.05517313 
03054500; TYGART VALLEY RIVER AT PHILIPPI, WV; 38.84322680; -80.04670235; 2366.23723400; 718.72228030; 8.64111973; 0.08638272 
03179000; BLUESTONE RIVER NEAR PIPESTEM, WV; 37.38943018; -81.19780865; 1022.60799500; 793.15104510; 8.26083993; 0.04080048 
03364000; EAST FORK WHITE RIVER AT COLUMBUS, IN; 39.63606544; -85.70257359; 4419.21986700; 268.76773540; 0.55685714; 2.74000000e-06 
03451500; FRENCH BROAD RIVER AT ASHEVILLE, NC; 35.39065847; -82.60303500; 2446.49254500; 829.75383560; 8.83340236; 0.03126094 
05455500; English River at Kalona, IA; 41.56018830; -92.18420881; 1486.01769400; 253.48089540; 1.61715663; 0.03950676 
07186000; Spring River near Waco, MO; 37.26175768; -94.14560752; 3013.45748400; 331.50459140; 0.81471549; 5.41000000e-05 
07378500; Amite River near Denham Springs, LA; 30.94543739; -90.90736981; 3313.76768000; 82.40126818; 0.95572406; 0.07206475 
08167500; Guadalupe Rv nr Spring Branch, TX; 30.00228906; -99.06002823; 3404.37851500; 544.41148560; 2.71371877; 4.69000000e-05 
08172000; San Marcos Rv at Luling, TX; 29.92610908; -98.10476927; 2169.48227800; 298.79745320; 1.84936096; 0.00273552 
